name,city,district,coord,bc_type,road_cond,unit_rent,bound_rent,audit_date,transit_count,industrial_count,mall_count,hub_highway,hub_railway,hub_coach,hub_airport
长安莞长路站,东莞,长安镇,"113.974546,23.021116",一般区域,一般通达,700.0,800.0,2025-07-06,0,7,12,0,0,0,0
番禺广场市莲路停车场-番禺市莲路站,广州,番禺区,"113.390006,22.939036",次级商圈,高优通达,880.0,800.0,2025-07-16,1,3,15,0,0,0,0
番禺大道北站-捷电通,广州,番禺区,"113.385067,22.951677",一般区域,高优通达,650.0,800.0,2025-07-16,1,6,9,0,1,1,0
白云佰德商业广场-白云鹅掌坦站,广州,白云区,"113.234597,23.156534",次级商圈,一般通达,1100.0,1200.0,2025-07-16,6,2,20,0,2,1,0
宏泰创客空间-天河珠村护林路站-顶替天茂路二选一,广州,天河区,"113.418842,23.118287",一般区域,高优通达,1076.923076923077,1200.0,2025-07-16,3,5,20,0,0,4,0
羊充-番禺南浦站,广州,番禺区,"113.289963,23.031758",次级商圈,一般通达,450.0,600.0,2025-07-16,2,2,10,7,0,0,1
顺联公园里-南海季华东路站,佛山,南海区,"113.164881,23.013955",一般区域,高优通达,630.7692307692307,750.0,2025-07-16,3,1,14,8,0,0,2
宝安东方大道站（鑫伟润创客中心，替换松岗汽车站）,深圳,宝安区,"113.850195,22.758727",一般区域,高优通达,600.0,800.0,2025-07-16,0,5,12,6,0,0,3
宝安机场码头站,深圳,宝安区,"113.814664,22.600913",核心商圈,一般通达,1153.8461538461538,1200.0,2025-07-16,0,3,0,7,0,0,4
宝安环镇路站（智荟先进产业园）,深圳,宝安区,"113.812111,22.738393",一般区域,高优通达,980.0,800.0,2025-07-16,4,0,1,2,1,0,0
大朗工业东路站（科旺）,东莞,大朗镇,"113.872329,22.986013",一般区域,一般通达,630.0,700.0,2025-07-16,0,10,20,0,2,1,0
龙岗沙荷路站（新龙低碳产业园）,深圳,龙岗区,"114.229299,22.640389",一般区域,一般通达,800.0,800.0,2025-07-26,4,0,6,0,0,0,0
万江万道路站,东莞,万江街道,"113.699708,23.028581",核心商圈,一般通达,600.0,600.0,2025-07-26,3,0,4,4,0,0,0
番禺会江站-捷易电汽车充电站(乐万充广州南超充),广州,番禺区,"113.279489,23.009648",次级商圈,一般通达,730.7692307692307,800.0,2025-07-30,3,4,2,9,3,2,0
番禺板桥站-嘉信驾校,广州,番禺区,"113.492185,23.023021",一般区域,一般通达,750.0,600.0,2025-07-30,0,1,0,0,0,0,0
厚街南环路站,东莞,厚街镇,"113.644279,22.930744",核心商圈,一般通达,740.0,800.0,2025-07-30,0,7,11,0,0,0,0
龙华大浪北路站,深圳,龙华区,"113.994702,22.694468",一般区域,一般通达,780.0,800.0,2025-07-30,3,8,4,0,0,0,0
龙华大富路站,深圳,龙华区,"114.029538,22.658485",一般区域,一般通达,800.0,800.0,2025-08-06,6,4,20,0,0,0,0
光明融汇路站,深圳,光明区,"113.919247,22.723668",一般区域,一般通达,1076.923076923077,1200.0,2025-08-06,1,5,10,5,1,0,0
天河黄埔大道中站,广州,天河区,"113.385838,23.125496",次级商圈,高优通达,1420.0,1600.0,2025-08-06,5,3,20,0,4,0,0
白云太和中路站-安神禧越酒店-,广州,白云区,"113.357017,23.289693",郊区/偏远,一般通达,850.0,850.0,2025-08-13,1,0,10,0,2,1,4
增城发展路站-增城汇都公馆,广州,增城区,"113.679713,23.171018",核心商圈,高优通达,600.0,600.0,2025-08-13,0,4,1,0,0,0,0
广州南站站-番禺南站石建混凝土,广州,番禺区,"113.25718,22.991898",核心商圈,一般通达,900.0,1000.0,2025-08-13,1,2,1,3,2,2,0
南海佛平三路站-盛世腾飞智造园(夏西园),佛山,南海区,"113.167992,23.036299",核心商圈,一般通达,750.0,750.0,2025-08-13,3,1,16,0,0,0,2
顺德勒流育贤大道站,佛山,顺德区,"113.131645,22.846844",次级商圈,一般通达,540.0,600.0,2025-08-13,0,3,6,5,0,0,0
南海浔峰洲路站,佛山,南海区,"113.182516,23.156081",次级商圈,一般通达,580.0,600.0,2025-08-13,0,9,4,0,0,0,1
香洲情侣南路站,珠海,香洲区,"113.57445,22.232564",一般区域,一般通达,850.0,950.0,2025-08-13,0,1,4,0,0,0,0
坦洲镇南坦路站-智盛大厦,中山,坦洲镇,"113.488454,22.26766",一般区域,一般通达,679.1207692307692,650.0,2025-08-13,0,4,13,1,0,1,0
"万江中心区东路站
（盛世华南）",东莞,万江街道,"113.70893,23.031399",核心商圈,一般通达,570.0,600.0,2025-08-13,2,7,17,0,0,0,0
"虎门赤岗富马路站
（红星学校旁停车场）",东莞,虎门镇,"113.712449,22.849565",一般区域,一般通达,700.0,650.0,2025-08-20,0,8,6,12,0,0,0
南城环城西路站,东莞,南城街道,"113.72798,22.994572",核心商圈,一般通达,800.0,750.0,2025-08-20,3,6,12,2,2,2,0
"龙岗龙富路站
（速来电超充站龙富路站）",深圳,龙岗区,"114.246884,22.720889",核心商圈,高优通达,1150.0,1200.0,2025-08-20,4,6,20,0,0,2,0
福田下梅林一街站,深圳,福田区,"114.034268,22.560901",一般区域,高优通达,1569.2307692307693,1500.0,2025-08-20,0,0,11,6,0,0,0
花都三东大道站,广州,花都区,"113.24019,23.407727",一般区域,一般通达,640.0,600.0,2025-08-20,2,4,14,0,3,0,0
白云同泰路站-南湖麒麟山庄,广州,白云区,"113.312401,23.21633",一般区域,高优通达,700.0,800.0,2025-08-20,2,6,13,0,0,0,0
增城新荔公路站-小桔汽车充电站(增城万达广场站),广州,增城区,"113.814368,23.275453",核心商圈,高优通达,700.0,700.0,2025-08-20,1,0,8,0,0,0,0
古镇同兴路站-小桔充电汽车充电站(速达同兴路),中山,古镇镇,"113.205364,22.602868",一般区域,一般通达,500.0,500.0,2025-08-20,1,5,13,0,0,0,0
火炬开发区中山六路站-中山火炬开发区经双仓储服务部,中山,火炬开发区,"113.428481,22.520936",一般区域,一般通达,500.0,500.0,2025-08-20,0,6,5,0,1,0,0
长安上南路站,东莞,长安镇,"113.708132,22.796584",一般区域,高优通达,615.3846153846154,700.0,2025-08-27,1,5,8,0,0,0,0
石碣向阳路站,东莞,石碣镇,"113.80795,23.105634",一般区域,一般通达,600.0,600.0,2025-08-27,0,0,15,6,0,0,0
石排海仔北路站,东莞,石排镇,"113.939178,23.095879",一般区域,高优通达,600.0,600.0,2025-08-27,0,0,5,0,1,0,0
顺德北滘广珠公路站,佛山,顺德区,"113.263772,22.950062",一般区域,一般通达,873.5,750.0,2025-08-27,2,0,4,0,0,0,0
小榄环镇北路站,中山,小榄镇,"113.225305,22.684499",一般区域,一般通达,600.0,600.0,2025-08-27,0,0,5,3,1,0,0
"坪山坪联路站（Miix）
（二选一）",深圳,坪山区,"114.336201,22.684481",一般区域,高优通达,923.0769230769231,750.0,2025-09-03,4,0,9,0,0,0,0
东城狮龙路站,东莞,东城区,"113.809893,23.066429",一般区域,一般通达,630.0,700.0,2025-09-03,1,0,3,3,0,0,0
增城新塘大道站,广州,增城区,"113.57831,23.11454",次级商圈,高优通达,730.7692307692307,700.0,2025-09-03,1,0,11,0,0,0,0
龙岗万国城站,深圳,龙岗区,"114.127225,22.653913",一般区域,高优通达,1300.0,800.0,2025-09-03,0,0,3,7,0,0,0
万江和谐路站,东莞,万江街道,"113.716026,23.011571",一般区域,一般通达,577.982,600.0,2025-09-10,1,0,4,0,0,1,0
常平常东路站（miix）,东莞,常平镇,"114.033903,22.963685",一般区域,一般通达,538.4615384615385,600.0,2025-09-10,0,0,10,0,0,0,0
龙岗新厦大道站（miix）,深圳,龙岗区,"114.12408,22.700712",一般区域,高优通达,769.2307692307693,800.0,2025-09-10,4,7,18,3,2,0,0
三水口岸大道站,佛山,三水区,"112.86679,23.17171",一般区域,高优通达,700.0,600.0,2025-09-10,3,1,3,0,0,2,0
龙岗马安堂中兴路站,深圳,龙岗区,"114.083575,22.623959",一般区域,一般通达,1038.4615384615386,1000.0,2025-09-17,3,3,7,8,0,0,0
南山欧源路站,深圳,南山区,"113.965459,22.55721",一般区域,高优通达,1550.0,1500.0,2025-09-17,8,1,16,1,2,0,0
寮步工业北三路站,东莞,松山湖,"113.90608,22.969141",一般区域,一般通达,600.0,600.0,2025-09-17,1,1,10,0,0,0,0
从化从城大道站,广州,从化区,"113.607055,23.530092",次级商圈,高优通达,600.0,600.0,2025-09-17,1,2,8,3,0,6,0
白云朝阳联窖路站-MIIX,广州,白云区,"113.204251,23.237566",一般区域,一般通达,553.8461538461538,1000.0,2025-09-17,2,3,2,0,3,0,0
黄埔丰乐北路站,广州,黄埔区,"113.455632,23.11476",次级商圈,高优通达,653.8461538461538,900.0,2026-04-01,0,5,11,0,2,0,0
龙岗京南路站（Miix),深圳,龙岗区,"114.126541,22.601823",一般区域,高优通达,1000.0,1000.0,2025-09-24,1,2,20,0,0,0,0
大朗葡萄塘路站,东莞,大朗镇,"113.925357,22.963085",一般区域,高优通达,650.0,600.0,2025-09-24,0,13,11,1,0,0,0
常平常平大道站,东莞,常平镇,"113.992534,22.961298",一般区域,高优通达,600.0,600.0,2025-09-24,1,0,20,0,5,1,0
虎门怀德路站,东莞,虎门镇,"113.733668,22.830001",一般区域,一般通达,600.0,600.0,2025-09-24,0,0,5,0,0,0,0
白云人和方华公路站-miix,广州,白云区,"113.28287292263033, 23.33347963035631",一般区域,一般通达,1000.0,1000.0,2025-09-24,0,0,0,0,0,0,0
南海大沥客运站站-1,佛山,南海区,"113.103107,23.120878",一般区域,高优通达,730.0,750.0,2025-09-24,0,4,1,0,0,0,0
顺德南霞南路站-云高领地文体小镇,佛山,顺德区,"113.28306,22.798287",一般区域,高优通达,800.0,750.0,2025-09-24,0,7,5,0,1,0,0
香洲西环路站,珠海,香洲区,"113.536291,22.204705",一般区域,一般通达,930.0,900.0,2025-09-24,2,0,9,0,0,0,0
石岐莲员东路站,中山,石岐街道,"113.378428,22.531105",一般区域,高优通达,620.0,600.0,2025-09-24,1,0,21,0,1,0,0
东区博爱六路站,中山,石岐街道,"113.416059,22.502083",一般区域,高优通达,490.0,650.0,2025-09-24,0,0,3,0,0,0,0
龙华宁远路站,深圳,龙华区,"114.039338,22.603886",一般区域,高优通达,1000.0,1200.0,2025-09-24,4,0,20,3,1,1,0
南海南海路站-碧翠华庭,佛山,南海区,"113.192366,23.107924",一般区域,高优通达,750.0,700.0,2025-10-23,1,4,19,0,0,0,0
南海招大路站,佛山,南海区,"113.035042,23.093788",一般区域,一般通达,700.0,700.0,2025-10-09,5,2,1,3,2,0,0
虎门会展中心站,东莞,虎门镇,"113.683022,22.816244",核心商圈,高优通达,600.0,600.0,2025-10-09,3,1,20,0,0,0,0
黄江盛业路站,东莞,黄江镇,"114.02836,22.91465",次级商圈,高优通达,600.0,600.0,2025-10-09,0,13,12,3,1,0,0
南城雅园工业路,东莞,南城街道,"113.763196,22.982629",一般区域,高优通达,700.0,700.0,2025-10-09,3,4,7,0,0,0,0
龙华民治大道站,深圳,龙华区,"114.035723,22.63575",一般区域,高优通达,1300.0,1200.0,2025-10-29,0,5,20,3,1,0,0
南海广佛新干线站-叁潭,佛山,南海区,"113.164227,23.101839",一般区域,一般通达,700.0,700.0,2025-10-13,0,7,20,0,0,0,2
光明东茂路站,深圳,光明区,"113.918746,22.757004",一般区域,高优通达,800.0,800.0,2025-10-29,3,0,3,2,0,0,0
龙岗新康路站,深圳,龙岗区,"114.121553,22.665317",一般区域,高优通达,600.0,800.0,2025-10-29,3,0,20,0,0,0,0
寮步上中路站,东莞,寮步镇,"113.863976,22.967153",一般区域,高优通达,630.0,600.0,2025-10-29,0,0,2,7,0,0,0
塘厦得胜路站,东莞,塘厦镇,"113.863976,22.967153",一般区域,高优通达,630.0,600.0,2025-10-29,0,7,2,0,0,0,0
增城荔城大道站,广州,增城区,"113.807636,23.29737",一般区域,高优通达,700.0,600.0,2025-10-29,0,2,6,0,0,0,0
西区彩虹大道站-轻卡,中山,西区街道,"113.332876,22.562408",一般区域,高优通达,676.9230769230769,650.0,2025-10-29,0,7,1,0,0,1,0
黄埔永和大道站,广州,黄埔区,"113.554635,23.194934",一般区域,高优通达,780.0,800.0,2025-10-29,0,6,3,0,0,0,0
龙华观光路站,深圳,龙华区,"114.003616,22.732716",一般区域,高优通达,784.762,800.0,2025-10-29,0,6,9,0,1,0,0
宝安黄朗路站(Miix),深圳,宝安区,"113.836352,22.799206",一般区域,高优通达,769.2307692307693,800.0,2025-10-29,0,5,7,0,0,0,0
白云白云大道北站,广州,白云区,"113.255693,23.23405",一般区域,高优通达,900.0,1000.0,2025-10-29,2,11,14,17,2,1,0
顺德东乐路站,佛山,顺德区,"113.257013,22.85464",一般区域,高优通达,750.0,750.0,2025-11-05,4,3,13,0,0,0,0
南海南桂东路站,佛山,南海区,"113.153016,23.033845",次级商圈,高优通达,750.0,750.0,2025-11-05,2,1,20,8,0,0,2
番禺龙美莲花路站-MIIX,广州,番禺区,"113.393996,22.942906",一般区域,高优通达,961.5384615384615,950.0,2025-11-05,2,0,15,1,1,0,0
荔湾龙溪大道二站,广州,荔湾区,"113.19016,23.065428",一般区域,高优通达,923.0769230769231,900.0,2025-11-05,1,0,1,0,0,0,0
香洲梅华西路站,珠海,香洲区,"113.514209,22.275764",核心商圈,高优通达,740.0,700.0,2025-11-05,1,0,10,7,0,0,0
宝安石观路站,深圳,宝安区,"113.953778,22.689847",一般区域,高优通达,800.0,800.0,2025-11-05,4,2,6,0,1,1,0
龙岗富坪中路站（Miix）,深圳,龙岗区,"114.318471,22.769918",一般区域,高优通达,1000.0,800.0,2025-11-05,3,8,13,0,0,0,0
白云机场三站,广州,花都区,"113.302895,23.387365",核心商圈,高优通达,1269.2307692307693,1000.0,2025-11-12,5,0,3,4,3,4,0
白云聚龙站,广州,白云区,"113.239896,23.182292",一般区域,一般通达,900.0,1200.0,2025-11-12,4,2,16,0,0,0,0
番禺南庭路站,广州,番禺区,"113.364915,22.993823",一般区域,高优通达,800.0,800.0,2025-11-12,0,1,9,2,2,0,0
海珠工业大道中站,广州,海珠区,"113.267601,23.078841",一般区域,高优通达,1300.0,1350.0,2025-11-12,3,2,20,0,0,0,0
海珠南洲立交站,广州,海珠区,"113.329974,23.061106",一般区域,一般通达,1000.0,1200.0,2025-11-12,1,5,2,4,2,0,0
海珠新滘东路站,广州,海珠区,"113.374965,23.08927",一般区域,一般通达,960.0,1200.0,2025-11-12,4,0,7,0,0,0,0
白云广花一路站,广州,白云区,"113.253398,23.250119",一般区域,高优通达,800.0,1000.0,2025-11-12,3,0,6,13,2,0,0
禅城季华二路站,佛山,禅城区,"113.062517,23.011124",次级商圈,高优通达,650.0,650.0,2025-11-12,3,0,8,0,0,1,2
宝安福洲大道站,深圳,宝安区,"113.82113,22.676444",一般区域,高优通达,800.0,900.0,2025-11-12,3,5,15,0,0,0,0
寮步寮城中路站,东莞,寮步镇,"113.813505,23.024234",一般区域,高优通达,700.0,600.0,2025-11-12,0,4,12,0,0,3,0
